# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[ -16. -106.   -8.];[ -15.94451983 -106.4156239    -7.962192  ];[ -12.4185677  -108.52257643   -6.65946448];[0.0, 0.0, 0.0]
[ -16. -106.  -16.];[ -15.94883425 -106.44431316  -15.93212686];[ -12.60451957 -108.31819312  -13.65579138];[0.0, 0.0, 0.0]
[ -16. -106.  -24.];[ -15.95922042 -106.44403863  -23.90625526];[ -12.30969551 -108.63534935  -19.86248809];[0.0, 0.0, 0.0]
[  -8. -106.  -24.];[  -7.98796268 -106.42559011  -23.90955588];[  -5.70168668 -108.71671676  -20.06654467];[0.0, 0.0, 0.0]
[  -8. -106.  -16.];[  -7.97904374 -106.42263884  -15.93896356];[  -5.52240896 -108.6091718   -13.68730555];[0.0, 0.0, 0.0]
[  -8. -106.   -8.];[  -7.97444139 -106.40102241   -7.96984496];[  -4.89155291 -109.22627567   -5.98270152];[0.0, 0.0, 0.0]
[  -8. -106.    0.];[-7.97062468e+00 -1.06393722e+02  6.08572113e-04];[  -5.43949841 -108.89607444    0.26846663];[0.0, 0.0, 0.0]
[  -8. -106.    8.];[  -7.96731254 -106.40118606    7.97147832];[  -5.68318032 -108.86484979    7.07943422];[0.0, 0.0, 0.0]
[  -8. -106.   16.];[  -7.96548873 -106.41021882   15.94252941];[  -5.66894911 -108.79418731   13.80237226];[0.0, 0.0, 0.0]
[  -8. -106.   24.];[  -7.96492881 -106.42375668   23.91361691];[  -6.13700358 -108.7744841    20.22655987];[0.0, 0.0, 0.0]
[   0. -106.   32.];[ 6.81422499e-03 -1.06410114e+02  3.18827739e+01];[   1.50426647 -109.10480899   25.43362389];[0.0, 0.0, 0.0]
[   0. -106.   24.];[ 1.05294945e-02 -1.06416353e+02  2.39143632e+01];[   1.27620814 -109.04985137   20.47511468];[0.0, 0.0, 0.0]
[   0. -106.   16.];[ 7.21753471e-03 -1.06409720e+02  1.59425525e+01];[   1.51322481 -109.03938398   13.96825324];[0.0, 0.0, 0.0]
[   0. -106.    8.];[ 3.48461798e-03 -1.06388480e+02  7.97336716e+00];[   1.62592172 -108.76733899    7.21211662];[0.0, 0.0, 0.0]
[   0. -106.    0.];[-7.21263762e-05 -1.06356922e+02  2.81521552e-03];[   1.96325811 -109.03835927    0.54689154];[0.0, 0.0, 0.0]
