# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -106.   32.];[ 9.04190116e-03 -1.06300699e+02  3.19254438e+01];[0 0 0];[-1.51 -119.66 27.33]
[   0. -106.   24.];[ 7.27116823e-03 -1.06303245e+02  2.39406199e+01];[0 0 0];[-1.29 -120.05 21.95]
[   0. -106.   16.];[ 4.83889591e-03 -1.06290692e+02  1.59599023e+01];[0 0 0];[-1.1 -120.23 15.08]
[   0. -106.    8.];[ 2.24099497e-03 -1.06265347e+02  7.98088862e+00];[0 0 0];[-1.0 -120.38 7.83]
[   0. -106.    0.];[-5.14313228e-05 -1.06233306e+02 -4.39228476e-05];[0 0 0];[-0.85 -120.59 0.59]
[   0. -106.   -8.];[-2.35727509e-03 -1.06265451e+02 -7.98097897e+00];[0 0 0];[-0.84 -120.74 -6.93]
[   0. -106.  -16.];[-4.96321452e-03 -1.06290862e+02 -1.59599792e+01];[0 0 0];[-0.68 -120.75 -14.23]
[   0. -106.  -24.];[-7.39297529e-03 -1.06303355e+02 -2.39406927e+01];[0 0 0];[-0.11 -120.5 -20.55]
[   0. -106.  -32.];[-9.15259970e-03 -1.06300744e+02 -3.19255139e+01];[0 0 0];[-0.2 -120.7 -26.64]
[   8. -106.  -24.];[   7.97628144 -106.30186936  -23.94437447];[0 0 0];[7.6 -120.8 -21.33]
[   8. -106.  -16.];[   7.97694581 -106.28657612  -15.96373394];[0 0 0];[7.57 -120.8 -14.41]
[   8. -106.   -8.];[   7.97872338 -106.2715387    -7.98334418];[0 0 0];[7.32 -120.6 -7.32]
[   8. -106.    0.];[ 7.98087103e+00 -1.06265411e+02 -2.35262043e-03];[0 0 0];[7.29 -120.42 0.0]
[   8. -106.    8.];[   7.98323021 -106.27148332    7.97874164];[0 0 0];[7.2 -120.17 7.52]
[   8. -106.   16.];[   7.98555917 -106.30030572   15.95748516];[0 0 0];[7.3 -119.82 14.83]
[   8. -106.   24.];[   7.98985821 -106.31649743   23.93757453];[0 0 0];[7.36 -119.43 21.61]
[  16. -106.   24.];[  15.97148743 -106.33054388   23.93744831];[0 0 0];[14.61 -119.35 21.67]
[  16. -106.   16.];[  15.96583669 -106.31266925   15.95686669];[0 0 0];[14.65 -119.95 15.04]
[  16. -106.    8.];[  15.96359939 -106.28661534    7.97695717];[0 0 0];[14.75 -120.16 7.78]
