# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -106.   32.];[-5.22193042e-04 -1.06260881e+02  3.19162124e+01];[0 0 0];[-0.24 -107.43 29.0]
[   0. -106.   24.];[-2.40944985e-08 -1.06272744e+02  2.39300816e+01];[0 0 0];[0.46 -107.73 22.72]
[   0. -106.   16.];[-1.54133453e-08 -1.06288260e+02  1.59470281e+01];[0 0 0];[0.53 -108.27 14.74]
[   0. -106.    8.];[-1.69118413e-08 -1.06310388e+02  7.96998207e+00];[0 0 0];[0.54 -108.54 6.6]
[   0. -106.    0.];[-1.73920490e-08 -1.06342404e+02  3.75384082e-04];[0 0 0];[0.49 -108.72 -1.48]
[   0. -106.   -8.];[-1.71693612e-08 -1.06310448e+02 -7.96935099e+00];[0 0 0];[0.42 -108.78 -9.57]
[   0. -106.  -16.];[-1.51375237e-08 -1.06288297e+02 -1.59465102e+01];[0 0 0];[0.34 -108.67 -17.69]
[   0. -106.  -24.];[-1.31573616e-08 -1.06272771e+02 -2.39296635e+01];[0 0 0];[0.49 -108.35 -25.57]
[   0. -106.  -32.];[-1.12883197e-08 -1.06260765e+02 -3.19166058e+01];[0 0 0];[0.69 -107.65 -32.21]
[   8. -106.  -24.];[   7.97472067 -106.27479945  -23.93069851];[0 0 0];[9.1 -107.69 -26.19]
[   8. -106.  -16.];[   7.97273492 -106.28997817  -15.94726323];[0 0 0];[9.11 -107.99 -18.51]
[   8. -106.   -8.];[   7.96983275 -106.31194578   -7.97013248];[0 0 0];[9.07 -108.21 -10.46]
[   8. -106.    0.];[ 7.96912006e+00 -1.06316165e+02 -3.75024211e-04];[0 0 0];[8.95 -108.3 -2.49]
[   8. -106.    8.];[   7.96982823 -106.31199842    7.96950073];[0 0 0];[8.9 -108.3 5.83]
