# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -106.   32.];[-1.67767658e-10 -1.06496773e+02  3.18646899e+01];[0 0 0];[-1.31 -124.39 34.57]
[   0. -106.   24.];[-4.22465023e-09 -1.06501142e+02  2.39051152e+01];[0 0 0];[-0.93 -125.35 28.32]
[   0. -106.   16.];[-3.13566497e-11 -1.06501720e+02  1.59400776e+01];[0 0 0];[-0.73 -126.16 21.34]
[   0. -106.    8.];[-4.04666803e-09 -1.06498338e+02  7.97122787e+00];[0 0 0];[-0.64 -126.78 14.46]
[   0. -106.    0.];[-1.11835748e-08 -1.06490839e+02  1.03603059e-08];[0 0 0];[-0.49 -127.42 7.26]
[   0. -106.   -8.];[ 1.72520672e-08 -1.06498338e+02 -7.97122787e+00];[0 0 0];[-0.38 -127.81 -0.1]
[   0. -106.  -16.];[-1.66793865e-08 -1.06501720e+02 -1.59400776e+01];[0 0 0];[-0.13 -127.74 -7.52]
[   0. -106.  -24.];[ 5.43171845e-09 -1.06501142e+02 -2.39051152e+01];[0 0 0];[0.04 -127.67 -14.59]
[   0. -106.  -32.];[ 7.63841847e-09 -1.06496773e+02 -3.18646899e+01];[0 0 0];[0.1 -127.49 -21.23]
[   8. -106.  -24.];[   7.97193137 -106.50034841  -23.90539389];[0 0 0];[6.64 -127.85 -15.72]
[   8. -106.  -16.];[   7.97143913 -106.50090027  -15.94032168];[0 0 0];[7.06 -127.93 -8.83]
[   8. -106.   -8.];[   7.97137013 -106.49742721   -7.97137015];[0 0 0];[6.93 -127.8 -1.56]
[   8. -106.    0.];[ 7.97122789e+00 -1.06498337e+02 -6.60882985e-09];[0 0 0];[6.86 -127.51 5.61]
[   8. -106.    8.];[   7.97137013 -106.49742723    7.97137015];[0 0 0];[6.78 -126.78 12.73]
[   8. -106.   16.];[   7.97143912 -106.50090026   15.94032167];[0 0 0];[6.62 -125.79 20.19]
[   8. -106.   24.];[   7.97193136 -106.5003484    23.90539389];[0 0 0];[6.47 -125.01 27.28]
[  16. -106.   24.];[  15.9418533  -106.49796581   23.90623115];[0 0 0];[12.11 -124.84 27.85]
[  16. -106.   16.];[  15.94105321 -106.49845657   15.9410532 ];[0 0 0];[12.6 -125.88 21.28]
[  16. -106.    8.];[  15.94032172 -106.50090007    7.97143916];[0 0 0];[12.9 -126.65 14.2]
[  16. -106.    0.];[ 1.59400776e+01 -1.06501720e+02 -7.31714999e-09];[0 0 0];[12.85 -127.19 6.98]
[  16. -106.   -8.];[  15.94032168 -106.50090012   -7.97143913];[0 0 0];[13.06 -127.58 -0.37]
[  16. -106.  -16.];[  15.94105319 -106.49845661  -15.94105321];[0 0 0];[13.2 -127.43 -7.71]
